Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERR2036629_1	96.25435857080534	56.0	126.0	54.54545454545454	24278349.0
ERR2036629_2	95.76990499283339	56.0	126.0	45.45454545454545	24278349.0
ERR2036629_P1.trim	95.40767705104483	56.0	117.84820675506747	36.36363636363637	21793091.0
ERR2036629_P2.trim	95.71199282440735	57.0	123.77193414188011	18.181818181818183	21793091.0
ERR2036629_S1.trim	86.96217115058397	56.0	84.97252569129522	36.36363636363637	2433801.0
ERR2036629_S2.trim	26.754627084478656	55.0	94.28513835440718	18.181818181818183	10914.0
ERR2036630_1	96.79029905589505	56.0	126.0	63.63636363636363	25190273.0
ERR2036630_2	96.08518824417922	56.0	126.0	45.45454545454545	25190273.0
ERR2036630_P1.trim	96.16247958680626	56.0	118.82962984524505	36.36363636363637	21987020.0
ERR2036630_P2.trim	95.95693725881137	56.0	123.08375004889248	18.181818181818183	21987020.0
ERR2036630_S1.trim	89.08889871572121	57.0	83.46228601644974	27.27272727272727	3139260.0
ERR2036630_S2.trim	24.78376196517125	55.0	93.32233883058471	18.181818181818183	8671.0
ERR2036631_1	82.52825073531451	52.0	126.0	45.45454545454545	20554133.0
ERR2036631_2	81.67945085539583	52.0	126.0	27.27272727272727	20554133.0
ERR2036631_P1.trim	79.81680105250818	52.0	120.7793864760802	9.090909090909092	15822040.0
ERR2036631_P2.trim	77.30358557143943	52.0	118.65281063630228	9.090909090909092	15822040.0
ERR2036631_S1.trim	67.77410614086122	55.0	80.55208610709226	18.181818181818183	4645471.0
ERR2036631_S2.trim	1.212121212121204	52.0	120.16969696969697	27.27272727272727	165.0
ERR2036632_1	87.94299444161862	52.0	126.0	36.36363636363637	27121727.0
ERR2036632_2	87.25276043036797	51.0	126.0	27.27272727272727	27121727.0
ERR2036632_P1.trim	83.40382079606091	52.0	120.91912238809257	9.090909090909092	16162087.0
ERR2036632_P2.trim	82.41981605733248	51.0	120.25935883156674	18.181818181818183	16162087.0
ERR2036632_S1.trim	81.02551946813014	55.0	76.9893285334036	36.36363636363637	10664045.0
ERR2036632_S2.trim	1.687763713080173	51.0	121.41772151898734	27.27272727272727	237.0
ERR2036633_1	96.71707488056255	56.0	126.0	54.54545454545454	24900532.0
ERR2036633_2	96.14121678731503	56.0	126.0	27.27272727272727	24900532.0
ERR2036633_P1.trim	95.98810591331603	56.0	118.21119631221069	36.36363636363637	22349216.0
ERR2036633_P2.trim	96.05269224901215	56.0	123.26707934631801	18.181818181818183	22349216.0
ERR2036633_S1.trim	87.2003854012886	57.0	83.46775006283617	27.27272727272727	2486625.0
ERR2036633_S2.trim	26.925795053003526	56.0	93.56385663806158	9.090909090909092	9905.0
ERR2117288_1	96.25435857080534	56.0	126.0	54.54545454545454	24278349.0
ERR2117288_2	95.76990499283339	56.0	126.0	45.45454545454545	24278349.0
ERR2117288_P1.trim	95.40767705104483	56.0	117.84820675506747	36.36363636363637	21793091.0
ERR2117288_P2.trim	95.71199282440735	57.0	123.77193414188011	18.181818181818183	21793091.0
ERR2117288_S1.trim	86.96217115058397	56.0	84.97252569129522	36.36363636363637	2433801.0
ERR2117288_S2.trim	26.754627084478656	55.0	94.28513835440718	18.181818181818183	10914.0
ERR2117289_1	96.79029905589505	56.0	126.0	63.63636363636363	25190273.0
ERR2117289_2	96.08518824417922	56.0	126.0	45.45454545454545	25190273.0
ERR2117289_P1.trim	96.16247958680626	56.0	118.82962984524505	36.36363636363637	21987020.0
ERR2117289_P2.trim	95.95693725881137	56.0	123.08375004889248	18.181818181818183	21987020.0
ERR2117289_S1.trim	89.08889871572121	57.0	83.46228601644974	27.27272727272727	3139260.0
ERR2117289_S2.trim	24.78376196517125	55.0	93.32233883058471	18.181818181818183	8671.0
ERR2117290_1	82.52825073531451	52.0	126.0	45.45454545454545	20554133.0
ERR2117290_2	81.67945085539583	52.0	126.0	27.27272727272727	20554133.0
ERR2117290_P1.trim	79.81680105250818	52.0	120.7793864760802	9.090909090909092	15822040.0
ERR2117290_P2.trim	77.30358557143943	52.0	118.65281063630228	9.090909090909092	15822040.0
ERR2117290_S1.trim	67.77410614086122	55.0	80.55208610709226	18.181818181818183	4645471.0
ERR2117290_S2.trim	1.212121212121204	52.0	120.16969696969697	27.27272727272727	165.0
ERR2117291_1	87.94299444161862	52.0	126.0	36.36363636363637	27121727.0
ERR2117291_2	87.25276043036797	51.0	126.0	27.27272727272727	27121727.0
ERR2117291_P1.trim	83.40382079606091	52.0	120.91912238809257	9.090909090909092	16162087.0
ERR2117291_P2.trim	82.41981605733248	51.0	120.25935883156674	18.181818181818183	16162087.0
ERR2117291_S1.trim	81.02551946813014	55.0	76.9893285334036	36.36363636363637	10664045.0
ERR2117291_S2.trim	1.687763713080173	51.0	121.41772151898734	27.27272727272727	237.0
ERR2117292_1	96.71707488056255	56.0	126.0	54.54545454545454	24900532.0
ERR2117292_2	96.14121678731503	56.0	126.0	27.27272727272727	24900532.0
ERR2117292_P1.trim	95.98810591331603	56.0	118.21119631221069	36.36363636363637	22349216.0
ERR2117292_P2.trim	96.05269224901215	56.0	123.26707934631801	18.181818181818183	22349216.0
ERR2117292_S1.trim	87.2003854012886	57.0	83.46775006283617	27.27272727272727	2486625.0
ERR2117292_S2.trim	26.925795053003526	56.0	93.56385663806158	9.090909090909092	9905.0
